# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
40100 3.09813
40200 3.10169
40300 3.08588
40400 3.10269
40500 3.10125
40600 3.10694
40700 3.10575
40800 3.09675
40900 3.10387
41000 3.08781
41100 3.10244
41200 3.09031
41300 3.096
41400 3.07719
41500 3.11256
41600 3.09656
41700 3.11556
41800 3.09981
41900 3.11275
42000 3.066
42100 3.071
42200 3.09681
42300 3.08206
42400 3.08619
42500 3.10931
42600 3.07187
42700 3.08
42800 3.07362
42900 3.0465
43000 3.07994
43100 3.06588
43200 3.07094
43300 3.05369
43400 3.10094
43500 3.11256
43600 3.06763
43700 3.07581
43800 3.057
43900 3.07894
44000 3.0855
44100 3.05281
44200 3.07437
44300 3.05969
44400 3.09375
44500 3.07456
44600 3.04581
44700 3.05644
44800 3.04425
44900 3.03194
45000 3.07187
45100 3.06444
45200 3.05731
45300 3.04856
45400 3.03556
45500 3.05581
45600 3.06325
45700 3.06663
45800 3.049
45900 3.06925
46000 3.04225
46100 3.077
46200 3.06956
46300 3.045
46400 3.06081
46500 3.05269
46600 3.08394
46700 3.0545
46800 3.06962
46900 3.066
47000 3.06137
47100 3.035
47200 3.05369
47300 3.06413
47400 3.08525
47500 3.06162
47600 3.07063
47700 3.07025
47800 3.08775
47900 3.09875
48000 3.07794
48100 3.0675
48200 3.08331
48300 3.06675
48400 3.04787
48500 3.05319
